"","No_ofProducts","GenderID","TransactedProducts","HasFixedDeposit","HasActiveLoans","LoanHistory","ChurnStatus","Total_Deposits","Total_Deposits_per_day","Total_Deposits_per_week","Total_Deposits_per_month","Total_Deposits_per_year","Av_Deposits","No_Trx","WeekdayTrx","EndMonthTrxs","MidMonthTrxs","Transactions_per_day","Transactions_per_week","Transactions_per_month","Transactions_per_year","Total_Withdrawals","Max_Withdrawals","Av_Withdrawals","days_since_last_trx","LastDepositBalance"
"179","2","M","2","1","Yes","Yes","Not_Churn",71800,160.986547085202,1126.90582959641,4829.59641255605,58760.0896860987,1527.65957446809,47,31,7,40,0.105381165919283,0.737668161434978,3.16143497757848,38.4641255605381,76160,6050,1620.42553191489,6,0
"180","2","M","2","1","Yes","Yes","Churn",3430,100.882352941176,706.176470588235,3026.47058823529,36822.0588235294,343,10,8,0,10,0.294117647058824,2.05882352941176,8.82352941176471,107.352941176471,7049,3360,704.9,420,0
"181","2","F","2","1","Yes","Yes","Not_Churn",10340,25.5940594059406,179.158415841584,767.821782178218,9341.83168316832,258.5,40,37,12,28,0.099009900990099,0.693069306930693,2.97029702970297,36.1386138613861,14046,5600,351.15,51,0
"182","2","M","2","1","Yes","Yes","Churn",22400,324.63768115942,2272.46376811594,9739.13043478261,118492.753623188,1018.18181818182,22,19,0,22,0.318840579710145,2.23188405797101,9.56521739130435,116.376811594203,28516,5600,1296.18181818182,386,0
"183","2","F","2","1","No","Yes","Not_Churn",11600,32.4929971988796,227.450980392157,974.789915966387,11859.943977591,682.352941176471,17,4,7,10,0.0476190476190476,0.333333333333333,1.42857142857143,17.3809523809524,14760,5600,868.235294117647,39,0
"184","2","M","2","1","NO","No","Churn",200,200,200,200,200,66.6666666666667,3,0,0,3,3,3,3,3,100,100,33.3333333333333,451,100
"185","2","M","2","1","Yes","Yes","Not_Churn",171330,392.059496567506,2744.41647597254,11761.7848970252,143101.71624714,1713.3,100,79,63,37,0.22883295194508,1.60183066361556,6.8649885583524,83.5240274599542,176829.09,5600,1768.2909,6,0
"186","2","M","2","1","No","Yes","Not_Churn",27812,66.5358851674641,465.751196172249,1996.07655502392,24285.5980861244,818,34,32,4,30,0.0813397129186603,0.569377990430622,2.44019138755981,29.688995215311,31618,6116,929.941176470588,37,0
"187","2","F","2","1","No","Yes","Not_Churn",28300,163.583815028902,1145.08670520231,4907.51445086705,59708.0924855491,1088.46153846154,26,26,3,23,0.15028901734104,1.05202312138728,4.50867052023121,54.8554913294798,34348.9,5600,1321.11153846154,282,0
"188","2","M","2","1","Yes","Yes","Churn",4564,134.235294117647,939.64705882353,4027.05882352941,48995.8823529412,380.333333333333,12,12,0,12,0.352941176470588,2.47058823529412,10.5882352941176,128.823529411765,9399.6,4480,783.3,421,0
"189","1","M","1","1","NO","No","Churn",20,0.540540540540541,3.78378378378378,16.2162162162162,197.297297297297,10,2,2,0,2,0.0540540540540541,0.378378378378378,1.62162162162162,19.7297297297297,0,0,0,418,0
"190","2","M","2","1","Yes","Yes","Not_Churn",41644,93.1633109619687,652.143176733781,2794.89932885906,34004.6085011186,671.677419354839,62,52,3,59,0.138702460850112,0.970917225950783,4.16107382550336,50.6263982102908,46644.78,5600,752.335161290323,8,0
"191","2","F","2","1","Yes","Yes","Churn",4704,50.5806451612903,354.064516129032,1517.41935483871,18461.935483871,224,21,14,7,14,0.225806451612903,1.58064516129032,6.7741935483871,82.4193548387097,5936,1232,282.666666666667,362,0
